ص_isolated,72
ث_final,90
ظ_isolated,92
ط_final,99
خ_final,103
ض_isolated,105
ص_final,113
ّ_hijja,115
ٹ_isolated,125
ض_final,133
چ_final,141
!_isolated,145
ج_final,146
ؓ_isolated,156
ھ_isolated,168
ع_isolated,173
و_initial,183
ٰ_hijja,189
ظ_initial,195
ح_final,195
)_isolated,199
گ_isolated,201
ؐ_isolated,201
(_isolated,202
َ_hijja,210
ٔ_isolated,218
ش_isolated,221
؟_isolated,224
ث_middle,224
غ_middle,229
ع_final,234
ث_initial,235
ج_isolated,252
ء_isolated,255
:_isolated,256
ٹ_final,260
پ_middle,283
ک_isolated,286
ق_isolated,294
ڈ_final,296
ش_final,306
گ_final,320
ف_final,327
ذ_final,348
ُ_hijja,370
ح_isolated,371
ڑ_isolated,373
ڈ_isolated,394
ذ_isolated,425
ِ_hijja,458
ض_middle,466
ق_final,483
ض_initial,512
ظ_middle,522
غ_initial,536
پ_isolated,564
ھ_initial,578
ط_middle,616
خ_middle,629
ٹ_initial,649
ف_isolated,678
ٹ_middle,794
ف_middle,795
چ_middle,823
ص_middle,841
ب_isolated,902
ئ_middle,907
ش_middle,921
س_final,927
ح_middle,1028
ھ_final,1114
ز_final,1120
ط_initial,1121
ڑ_final,1165
گ_middle,1195
ب_final,1213
ج_middle,1291
ص_initial,1320
ل_isolated,1375
ق_middle,1380
ے_isolated,1470
م_isolated,1575
ل_final,1576
ز_isolated,1757
ب_middle,1765
م_final,1789
ک_final,1794
چ_initial,1875
ن_final,1905
،_isolated,1966
ع_middle,1966
ف_initial,2002
ت_isolated,2029
خ_initial,2030
ی_isolated,2104
ق_initial,2119
ش_initial,2313
آ_isolated,2335
ح_initial,2354
ع_initial,2403
ت_final,2403
ہ_isolated,2424
'_isolated,2479
س_isolated,2690
ن_isolated,2762
ئ_initial,2890
س_middle,3104
ک_middle,3260
گ_initial,3386
م_middle,3509
ں_isolated,3604
ہ_middle,3996
د_final,4389
ت_middle,4405
ج_initial,5051
ل_middle,5145
ل_initial,5600
ن_middle,5624
پ_initial,5644
۔_isolated,6460
ہ_final,6501
د_isolated,6517
ھ_middle,6745
ں_final,6928
ب_initial,7892
ی_initial,8249
س_initial,8297
ت_initial,9108
و_isolated,9962
ن_initial,10388
ہ_initial,11021
ر_isolated,11879
م_initial,11916
ی_final,13254
ر_final,15163
و_final,16372
ی_middle,16873
ے_final,19944
ک_initial,21489
ا_isolated,21750
ا_final,30058
